,initial_possession
Adrián,0
Mohamed Salah,20
Alisson Becker,17
Caoimhín Kelleher,0
Tyler Morton,0
Fabinho,17
Takumi Minamino,0
Andy Robertson,36
Joe Gomez,9
Luis Díaz,0
Curtis Jones,15
Joël Matip,21
Virgil van Dijk,15
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,9
Ibrahima Konaté,0
Harvey Elliott,0
Sadio Mané,11
Marcelo Pitaluga,0
Thiago Alcântara,0
Divock Origi,0
Rhys Williams,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,23
Trent Alexander-Arnold,0
Diogo Jota,19
Alex Oxlade-Chamberlain,0
James Milner,38
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
