,initial_possession
Folarin Balogun,0
Ben White,25
Zach Awe,0
Takehiro Tomiyasu,0
Emile Smith Rowe,7
Martin Ødegaard,12
Granit Xhaka,22
Mohamed Elneny,26
Salah-Eddine Oulad M'hand,0
Reiss Nelson,0
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,2
Ainsley Maitland-Niles,0
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,0
Kieran Tierney,0
Nuno Tavares,30
Cédric Soares,7
Zak Swanson,0
Aaron Ramsdale,17
Gabriel Martinelli,7
Bukayo Saka,28
Alex Kirk,0
Pablo Marí,0
Arthur Okonkwo,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,0
Eddie Nketiah,26
Albert Sambi Lokonga,0
Héctor Bellerín,0
Gabriel Magalhães,22
Sead Kolasinac,0
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,0
Marcelo Flores,0
Calum Chambers,0
Rob Holding,26
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
