,initial_possession
Adrián,0
Mohamed Salah,14
Alisson Becker,14
Caoimhín Kelleher,0
Tyler Morton,0
Fabinho,10
Takumi Minamino,0
Andy Robertson,32
Joe Gomez,48
Luis Díaz,0
Curtis Jones,17
Joël Matip,41
Virgil van Dijk,25
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,23
Ibrahima Konaté,0
Harvey Elliott,0
Sadio Mané,8
Marcelo Pitaluga,0
Thiago Alcântara,24
Divock Origi,0
Rhys Williams,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,13
Trent Alexander-Arnold,0
Diogo Jota,18
Alex Oxlade-Chamberlain,0
James Milner,0
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
