,initial_possession
Folarin Balogun,0
Ben White,18
Zach Awe,0
Takehiro Tomiyasu,34
Emile Smith Rowe,7
Martin Ødegaard,16
Granit Xhaka,26
Mohamed Elneny,0
Salah-Eddine Oulad M'hand,0
Reiss Nelson,0
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,0
Ainsley Maitland-Niles,1
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,19
Kieran Tierney,26
Nuno Tavares,4
Cédric Soares,0
Zak Swanson,0
Aaron Ramsdale,19
Gabriel Martinelli,0
Bukayo Saka,19
Alex Kirk,0
Pablo Marí,0
Arthur Okonkwo,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,21
Eddie Nketiah,0
Albert Sambi Lokonga,4
Héctor Bellerín,0
Gabriel Magalhães,24
Sead Kolasinac,0
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,0
Marcelo Flores,0
Calum Chambers,0
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
