,initial_possession
Adrián,0
Mohamed Salah,12
Alisson Becker,15
Caoimhín Kelleher,0
Tyler Morton,0
Fabinho,29
Takumi Minamino,0
Andy Robertson,39
Joe Gomez,0
Luis Díaz,0
Curtis Jones,0
Joël Matip,11
Virgil van Dijk,18
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,0
Ibrahima Konaté,0
Harvey Elliott,12
Sadio Mané,20
Marcelo Pitaluga,0
Thiago Alcântara,24
Divock Origi,0
Rhys Williams,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,9
Trent Alexander-Arnold,33
Diogo Jota,13
Alex Oxlade-Chamberlain,4
James Milner,0
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
