,initial_possession
Folarin Balogun,0
Ben White,25
Zach Awe,0
Takehiro Tomiyasu,0
Emile Smith Rowe,0
Martin Ødegaard,25
Granit Xhaka,20
Mohamed Elneny,0
Salah-Eddine Oulad M'hand,0
Reiss Nelson,0
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,13
Ainsley Maitland-Niles,0
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,24
Kieran Tierney,28
Nuno Tavares,0
Cédric Soares,51
Zak Swanson,0
Aaron Ramsdale,20
Gabriel Martinelli,12
Bukayo Saka,21
Alex Kirk,0
Pablo Marí,0
Arthur Okonkwo,0
Nicolas Pépé,12
Pierre-Emerick Aubameyang,0
Eddie Nketiah,8
Albert Sambi Lokonga,0
Héctor Bellerín,0
Gabriel Magalhães,23
Sead Kolasinac,0
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,0
Marcelo Flores,0
Calum Chambers,0
Rob Holding,2
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
