,initial_possession
Adrián,0
Mohamed Salah,6
Alisson Becker,12
Caoimhín Kelleher,0
Tyler Morton,0
Fabinho,11
Takumi Minamino,0
Andy Robertson,29
Joe Gomez,47
Luis Díaz,27
Curtis Jones,0
Joël Matip,36
Virgil van Dijk,13
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,0
Ibrahima Konaté,0
Harvey Elliott,0
Sadio Mané,7
Marcelo Pitaluga,0
Thiago Alcântara,7
Divock Origi,0
Rhys Williams,0
Naby Keïta,33
Nathaniel Phillips,0
Jordan Henderson,16
Trent Alexander-Arnold,0
Diogo Jota,24
Alex Oxlade-Chamberlain,0
James Milner,25
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
