,initial_possession
Neal Maupay,10
Jeremy Sarmiento,0
Alexis Mac Allister,18
Adam Lallana,0
Odeluga Offiah,0
Ed Turns,0
Adam Webster,0
Marc Leonard,0
Solly March,19
Lewis Dunk,32
Jürgen Locadia,0
Marc Cucurella,33
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,17
Tom McGill,0
Pascal Groß,0
Taylor Richards,0
Dan Burn,0
Michal Karbownik,0
Shane Duffy,0
Jakub Moder,10
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,4
Robert Sánchez,10
Enock Mwepu,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,19
Yves Bissouma,24
Joël Veltman,40
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
