,initial_possession
Neal Maupay,15
Jeremy Sarmiento,4
Alexis Mac Allister,38
Adam Lallana,0
Odeluga Offiah,0
Ed Turns,0
Adam Webster,18
Marc Leonard,0
Solly March,15
Lewis Dunk,24
Jürgen Locadia,0
Marc Cucurella,29
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,20
Tom McGill,0
Pascal Groß,11
Taylor Richards,0
Dan Burn,0
Michal Karbownik,0
Shane Duffy,0
Jakub Moder,0
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,28
Robert Sánchez,18
Enock Mwepu,19
Moisés Caicedo,27
Andi Zeqiri,0
Tariq Lamptey,0
Yves Bissouma,0
Joël Veltman,60
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
