,initial_possession
Neal Maupay,10
Jeremy Sarmiento,4
Alexis Mac Allister,0
Adam Lallana,0
Odeluga Offiah,0
Ed Turns,0
Adam Webster,24
Marc Leonard,0
Solly March,5
Lewis Dunk,24
Jürgen Locadia,3
Marc Cucurella,47
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,25
Tom McGill,0
Pascal Groß,32
Taylor Richards,0
Dan Burn,0
Michal Karbownik,0
Shane Duffy,0
Jakub Moder,29
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,0
Robert Sánchez,17
Enock Mwepu,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,19
Yves Bissouma,26
Joël Veltman,50
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
