,initial_possession
Adrián,0
Mohamed Salah,7
Alisson Becker,18
Caoimhín Kelleher,0
Tyler Morton,0
Fabinho,0
Takumi Minamino,0
Andy Robertson,24
Joe Gomez,0
Luis Díaz,0
Curtis Jones,8
Joël Matip,0
Virgil van Dijk,18
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,21
Ibrahima Konaté,29
Harvey Elliott,0
Sadio Mané,0
Marcelo Pitaluga,0
Thiago Alcântara,0
Divock Origi,0
Rhys Williams,0
Naby Keïta,27
Nathaniel Phillips,0
Jordan Henderson,21
Trent Alexander-Arnold,23
Diogo Jota,17
Alex Oxlade-Chamberlain,6
James Milner,4
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
