,initial_possession
Folarin Balogun,8
Ben White,35
Zach Awe,0
Takehiro Tomiyasu,0
Emile Smith Rowe,16
Martin Ødegaard,0
Granit Xhaka,38
Mohamed Elneny,0
Salah-Eddine Oulad M'hand,0
Reiss Nelson,6
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,0
Ainsley Maitland-Niles,0
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,0
Kieran Tierney,32
Nuno Tavares,11
Cédric Soares,0
Zak Swanson,0
Aaron Ramsdale,0
Gabriel Martinelli,15
Bukayo Saka,10
Alex Kirk,0
Pablo Marí,33
Arthur Okonkwo,0
Nicolas Pépé,21
Pierre-Emerick Aubameyang,0
Eddie Nketiah,0
Albert Sambi Lokonga,21
Héctor Bellerín,0
Gabriel Magalhães,0
Sead Kolasinac,0
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,12
Marcelo Flores,0
Calum Chambers,34
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
