,initial_possession
Jensen Weir,0
Ben White,19
Neal Maupay,11
Mathew Ryan,0
Alexis Mac Allister,0
Adam Lallana,0
Jayson Molumby,0
Christian Walton,0
Adam Webster,28
Solly March,0
Lewis Dunk,32
Reda Khadra,0
Aaron Connolly,0
Jason Steele,0
Bernardo,0
Steven Alzate,0
Davy Pröpper,0
Leandro Trossard,16
Percy Tau,0
Tom McGill,0
José Izquierdo,0
Pascal Groß,28
Teddy Jenks,0
Dan Burn,41
Alireza Jahanbakhsh,3
Michal Karbownik,0
Florin Andone,0
Jakub Moder,0
Danny Welbeck,18
Robert Sánchez,17
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,0
Yves Bissouma,23
Joël Veltman,34
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
