,initial_possession
Adrián,0
Georginio Wijnaldum,16
Mohamed Salah,15
Leighton Clarkson,0
Alisson Becker,0
Caoimhín Kelleher,17
Liam Hughes,0
Fabinho,0
Takumi Minamino,0
Andy Robertson,33
Billy Koumetio,0
Joe Gomez,0
Ben Davies,0
Kostas Tsimikas,0
Curtis Jones,2
Joël Matip,0
Virgil van Dijk,0
Ben Woodburn,0
Xherdan Shaqiri,10
Ozan Kabak,0
Neco Williams,0
Roberto Firmino,18
Sadio Mané,0
Thiago Alcântara,27
Divock Origi,2
Rhys Williams,0
Naby Keïta,0
Nathaniel Phillips,37
Jordan Henderson,34
Trent Alexander-Arnold,32
Diogo Jota,0
Alex Oxlade-Chamberlain,7
Jake Cain,0
James Milner,21
Jakub Ojrzynski,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
