,initial_possession
Adrián,0
Georginio Wijnaldum,15
Mohamed Salah,32
Leighton Clarkson,0
Alisson Becker,10
Caoimhín Kelleher,0
Liam Hughes,0
Fabinho,12
Takumi Minamino,0
Andy Robertson,43
Billy Koumetio,0
Joe Gomez,41
Ben Davies,0
Kostas Tsimikas,0
Curtis Jones,10
Joël Matip,1
Virgil van Dijk,21
Ben Woodburn,0
Xherdan Shaqiri,0
Ozan Kabak,0
Neco Williams,0
Roberto Firmino,22
Sadio Mané,24
Thiago Alcântara,0
Divock Origi,0
Rhys Williams,0
Naby Keïta,18
Nathaniel Phillips,0
Jordan Henderson,18
Trent Alexander-Arnold,55
Diogo Jota,0
Alex Oxlade-Chamberlain,0
Jake Cain,0
James Milner,0
Jakub Ojrzynski,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
