,initial_possession
Adrián,0
Georginio Wijnaldum,15
Mohamed Salah,10
Leighton Clarkson,0
Alisson Becker,19
Caoimhín Kelleher,0
Liam Hughes,0
Fabinho,0
Takumi Minamino,0
Andy Robertson,29
Billy Koumetio,0
Joe Gomez,19
Ben Davies,0
Kostas Tsimikas,0
Curtis Jones,0
Joël Matip,23
Virgil van Dijk,0
Ben Woodburn,0
Xherdan Shaqiri,10
Ozan Kabak,0
Neco Williams,0
Roberto Firmino,7
Sadio Mané,18
Thiago Alcântara,0
Divock Origi,0
Rhys Williams,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,15
Trent Alexander-Arnold,26
Diogo Jota,19
Alex Oxlade-Chamberlain,0
Jake Cain,0
James Milner,12
Jakub Ojrzynski,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
