,initial_possession
Jensen Weir,0
Ben White,21
Neal Maupay,21
Mathew Ryan,0
Alexis Mac Allister,27
Adam Lallana,6
Jayson Molumby,0
Christian Walton,0
Adam Webster,28
Solly March,33
Lewis Dunk,21
Reda Khadra,0
Aaron Connolly,3
Jason Steele,0
Bernardo,0
Steven Alzate,0
Davy Pröpper,0
Leandro Trossard,20
Percy Tau,0
Tom McGill,0
José Izquierdo,0
Pascal Groß,25
Teddy Jenks,0
Dan Burn,12
Alireza Jahanbakhsh,0
Michal Karbownik,0
Florin Andone,0
Jakub Moder,0
Danny Welbeck,0
Robert Sánchez,13
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,0
Yves Bissouma,23
Joël Veltman,21
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
