,initial_possession
Jensen Weir,0
Ben White,20
Neal Maupay,7
Mathew Ryan,0
Alexis Mac Allister,0
Adam Lallana,15
Jayson Molumby,0
Christian Walton,0
Adam Webster,27
Solly March,32
Lewis Dunk,47
Reda Khadra,0
Aaron Connolly,14
Jason Steele,0
Bernardo,0
Steven Alzate,0
Davy Pröpper,0
Leandro Trossard,24
Percy Tau,0
Tom McGill,0
José Izquierdo,0
Pascal Groß,0
Teddy Jenks,0
Dan Burn,0
Alireza Jahanbakhsh,8
Michal Karbownik,0
Florin Andone,0
Jakub Moder,0
Danny Welbeck,7
Robert Sánchez,15
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,4
Tariq Lamptey,0
Yves Bissouma,20
Joël Veltman,28
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
