,initial_possession
Adrián,0
Georginio Wijnaldum,9
Mohamed Salah,12
Leighton Clarkson,0
Alisson Becker,11
Caoimhín Kelleher,0
Liam Hughes,0
Fabinho,22
Takumi Minamino,1
Andy Robertson,39
Billy Koumetio,0
Joe Gomez,35
Ben Davies,0
Kostas Tsimikas,0
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,22
Ben Woodburn,0
Xherdan Shaqiri,0
Ozan Kabak,0
Neco Williams,0
Roberto Firmino,15
Sadio Mané,16
Thiago Alcântara,0
Divock Origi,0
Rhys Williams,0
Naby Keïta,14
Nathaniel Phillips,0
Jordan Henderson,0
Trent Alexander-Arnold,41
Diogo Jota,7
Alex Oxlade-Chamberlain,0
Jake Cain,0
James Milner,2
Jakub Ojrzynski,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
