,initial_possession
Rúnar Rúnarsson,0
Willian,13
Emile Smith Rowe,0
Mathew Ryan,0
Martin Ødegaard,0
Granit Xhaka,15
Mohamed Elneny,0
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,4
Ainsley Maitland-Niles,0
David Luiz,28
Thomas Partey,7
Kieran Tierney,42
Dani Ceballos,10
Cédric Soares,0
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,27
Pablo Marí,0
Nicolas Pépé,13
Pierre-Emerick Aubameyang,11
Eddie Nketiah,2
Héctor Bellerín,29
Gabriel Magalhães,23
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,14
Calum Chambers,0
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
