,initial_possession
Jensen Weir,0
Ben White,24
Neal Maupay,16
Mathew Ryan,0
Alexis Mac Allister,8
Adam Lallana,0
Jayson Molumby,0
Christian Walton,0
Adam Webster,28
Solly March,27
Lewis Dunk,32
Reda Khadra,0
Aaron Connolly,0
Jason Steele,0
Bernardo,0
Steven Alzate,0
Davy Pröpper,1
Leandro Trossard,14
Percy Tau,6
Tom McGill,0
José Izquierdo,0
Pascal Groß,18
Teddy Jenks,0
Dan Burn,39
Alireza Jahanbakhsh,0
Michal Karbownik,0
Florin Andone,0
Jakub Moder,0
Danny Welbeck,0
Robert Sánchez,24
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,0
Yves Bissouma,4
Joël Veltman,42
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
