,initial_possession
Jensen Weir,0
Ben White,44
Neal Maupay,17
Mathew Ryan,7
Alexis Mac Allister,8
Adam Lallana,14
Jayson Molumby,0
Christian Walton,0
Adam Webster,32
Solly March,24
Lewis Dunk,29
Reda Khadra,0
Aaron Connolly,1
Jason Steele,0
Bernardo,0
Steven Alzate,0
Davy Pröpper,0
Leandro Trossard,15
Percy Tau,0
Tom McGill,0
José Izquierdo,0
Pascal Groß,1
Teddy Jenks,0
Dan Burn,28
Alireza Jahanbakhsh,0
Michal Karbownik,0
Florin Andone,0
Jakub Moder,0
Danny Welbeck,0
Robert Sánchez,0
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,40
Yves Bissouma,27
Joël Veltman,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
