,initial_possession
Rúnar Rúnarsson,0
Willian,6
Emile Smith Rowe,12
Mathew Ryan,12
Martin Ødegaard,8
Granit Xhaka,34
Mohamed Elneny,0
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,12
Ainsley Maitland-Niles,0
David Luiz,0
Thomas Partey,24
Kieran Tierney,0
Dani Ceballos,0
Cédric Soares,20
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,27
Pablo Marí,0
Nicolas Pépé,13
Pierre-Emerick Aubameyang,4
Eddie Nketiah,0
Héctor Bellerín,38
Gabriel Magalhães,33
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,0
Calum Chambers,0
Rob Holding,39
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
