,initial_possession
Jensen Weir,0
Ben White,25
Neal Maupay,13
Mathew Ryan,0
Alexis Mac Allister,20
Adam Lallana,5
Jayson Molumby,0
Christian Walton,0
Adam Webster,26
Solly March,0
Lewis Dunk,33
Reda Khadra,0
Aaron Connolly,5
Jason Steele,0
Bernardo,0
Steven Alzate,0
Davy Pröpper,0
Leandro Trossard,2
Percy Tau,0
Tom McGill,0
José Izquierdo,0
Pascal Groß,21
Teddy Jenks,0
Dan Burn,40
Alireza Jahanbakhsh,0
Michal Karbownik,0
Florin Andone,0
Jakub Moder,0
Danny Welbeck,2
Robert Sánchez,41
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,0
Yves Bissouma,15
Joël Veltman,29
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
