,initial_possession
Rúnar Rúnarsson,0
Willian,3
Emile Smith Rowe,21
Mathew Ryan,0
Martin Ødegaard,21
Granit Xhaka,35
Mohamed Elneny,0
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,14
Ainsley Maitland-Niles,0
David Luiz,22
Thomas Partey,28
Kieran Tierney,31
Dani Ceballos,0
Cédric Soares,33
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,9
Pablo Marí,0
Nicolas Pépé,9
Pierre-Emerick Aubameyang,0
Eddie Nketiah,0
Héctor Bellerín,0
Gabriel Magalhães,26
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,13
Calum Chambers,0
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
