,initial_possession
Adrián,0
Georginio Wijnaldum,8
Mohamed Salah,14
Leighton Clarkson,0
Alisson Becker,0
Caoimhín Kelleher,15
Liam Hughes,0
Fabinho,25
Takumi Minamino,0
Andy Robertson,36
Billy Koumetio,0
Joe Gomez,0
Ben Davies,0
Kostas Tsimikas,0
Curtis Jones,29
Joël Matip,15
Virgil van Dijk,0
Ben Woodburn,0
Xherdan Shaqiri,0
Ozan Kabak,0
Neco Williams,28
Roberto Firmino,10
Sadio Mané,14
Thiago Alcântara,0
Divock Origi,0
Rhys Williams,0
Naby Keïta,3
Nathaniel Phillips,0
Jordan Henderson,16
Trent Alexander-Arnold,9
Diogo Jota,2
Alex Oxlade-Chamberlain,0
Jake Cain,0
James Milner,0
Jakub Ojrzynski,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
