,initial_possession
Rúnar Rúnarsson,0
Willian,15
Emile Smith Rowe,0
Mathew Ryan,0
Martin Ødegaard,0
Granit Xhaka,3
Mohamed Elneny,20
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,0
Ainsley Maitland-Niles,5
David Luiz,33
Thomas Partey,0
Kieran Tierney,28
Dani Ceballos,21
Cédric Soares,0
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,13
Pablo Marí,0
Nicolas Pépé,13
Pierre-Emerick Aubameyang,13
Eddie Nketiah,7
Héctor Bellerín,32
Gabriel Magalhães,25
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,11
Calum Chambers,0
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
