,initial_possession
Jensen Weir,0
Ben White,21
Neal Maupay,22
Mathew Ryan,0
Alexis Mac Allister,6
Adam Lallana,22
Jayson Molumby,0
Christian Walton,0
Adam Webster,0
Solly March,0
Lewis Dunk,29
Reda Khadra,0
Aaron Connolly,0
Jason Steele,0
Bernardo,0
Steven Alzate,0
Davy Pröpper,0
Leandro Trossard,19
Percy Tau,0
Tom McGill,0
José Izquierdo,0
Pascal Groß,40
Teddy Jenks,0
Dan Burn,0
Alireza Jahanbakhsh,3
Michal Karbownik,0
Florin Andone,0
Jakub Moder,20
Danny Welbeck,22
Robert Sánchez,27
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,1
Tariq Lamptey,0
Yves Bissouma,21
Joël Veltman,30
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
