,initial_possession
Rúnar Rúnarsson,0
Willian,16
Emile Smith Rowe,0
Mathew Ryan,0
Martin Ødegaard,0
Granit Xhaka,32
Mohamed Elneny,0
Reiss Nelson,8
Shkodran Mustafi,0
Alexandre Lacazette,1
Ainsley Maitland-Niles,0
David Luiz,10
Thomas Partey,0
Kieran Tierney,40
Dani Ceballos,15
Cédric Soares,0
Joe Willock,29
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,25
Pablo Marí,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,14
Eddie Nketiah,0
Héctor Bellerín,25
Gabriel Magalhães,26
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,11
Calum Chambers,0
Rob Holding,15
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
