,initial_possession
Jensen Weir,0
Ben White,22
Neal Maupay,10
Mathew Ryan,21
Alexis Mac Allister,5
Adam Lallana,0
Jayson Molumby,0
Christian Walton,0
Adam Webster,0
Solly March,28
Lewis Dunk,20
Reda Khadra,0
Aaron Connolly,3
Jason Steele,0
Bernardo,0
Steven Alzate,9
Davy Pröpper,0
Leandro Trossard,0
Percy Tau,0
Tom McGill,0
José Izquierdo,0
Pascal Groß,27
Teddy Jenks,0
Dan Burn,23
Alireza Jahanbakhsh,15
Michal Karbownik,0
Florin Andone,0
Jakub Moder,0
Danny Welbeck,5
Robert Sánchez,0
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,0
Yves Bissouma,26
Joël Veltman,38
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
