,initial_possession
Rúnar Rúnarsson,0
Willian,21
Emile Smith Rowe,0
Mathew Ryan,0
Martin Ødegaard,0
Granit Xhaka,13
Mohamed Elneny,17
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,17
Ainsley Maitland-Niles,13
David Luiz,0
Thomas Partey,0
Kieran Tierney,35
Dani Ceballos,11
Cédric Soares,0
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,18
Pablo Marí,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,16
Eddie Nketiah,0
Héctor Bellerín,24
Gabriel Magalhães,29
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,21
Calum Chambers,0
Rob Holding,46
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
