,initial_possession
Rúnar Rúnarsson,0
Willian,11
Emile Smith Rowe,0
Mathew Ryan,0
Martin Ødegaard,0
Granit Xhaka,19
Mohamed Elneny,10
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,17
Ainsley Maitland-Niles,15
David Luiz,0
Thomas Partey,0
Kieran Tierney,28
Dani Ceballos,6
Cédric Soares,0
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,0
Pablo Marí,0
Nicolas Pépé,2
Pierre-Emerick Aubameyang,8
Eddie Nketiah,0
Héctor Bellerín,22
Gabriel Magalhães,21
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,13
Calum Chambers,0
Rob Holding,22
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
