,initial_possession
Adrián,0
Georginio Wijnaldum,22
Mohamed Salah,22
Leighton Clarkson,0
Alisson Becker,15
Caoimhín Kelleher,0
Liam Hughes,0
Fabinho,24
Takumi Minamino,0
Andy Robertson,21
Billy Koumetio,0
Joe Gomez,0
Ben Davies,0
Kostas Tsimikas,0
Curtis Jones,2
Joël Matip,0
Virgil van Dijk,0
Ben Woodburn,0
Xherdan Shaqiri,21
Ozan Kabak,0
Neco Williams,0
Roberto Firmino,23
Sadio Mané,23
Thiago Alcântara,42
Divock Origi,4
Rhys Williams,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,25
Trent Alexander-Arnold,32
Diogo Jota,0
Alex Oxlade-Chamberlain,0
Jake Cain,0
James Milner,2
Jakub Ojrzynski,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
