,initial_possession
Jensen Weir,0
Ben White,25
Neal Maupay,7
Mathew Ryan,0
Alexis Mac Allister,0
Adam Lallana,10
Jayson Molumby,0
Christian Walton,0
Adam Webster,40
Solly March,21
Lewis Dunk,25
Reda Khadra,0
Aaron Connolly,4
Jason Steele,0
Bernardo,0
Steven Alzate,0
Davy Pröpper,8
Leandro Trossard,18
Percy Tau,0
Tom McGill,0
José Izquierdo,0
Pascal Groß,0
Teddy Jenks,0
Dan Burn,27
Alireza Jahanbakhsh,0
Michal Karbownik,0
Florin Andone,0
Jakub Moder,0
Danny Welbeck,0
Robert Sánchez,13
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,5
Tariq Lamptey,0
Yves Bissouma,8
Joël Veltman,43
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
