,initial_possession
Rúnar Rúnarsson,0
Willian,4
Emile Smith Rowe,0
Mathew Ryan,19
Martin Ødegaard,14
Granit Xhaka,28
Mohamed Elneny,17
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,0
Ainsley Maitland-Niles,0
David Luiz,10
Thomas Partey,3
Kieran Tierney,0
Dani Ceballos,18
Cédric Soares,0
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,17
Bukayo Saka,0
Pablo Marí,0
Nicolas Pépé,3
Pierre-Emerick Aubameyang,2
Eddie Nketiah,0
Héctor Bellerín,22
Gabriel Magalhães,25
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,0
Calum Chambers,15
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
