,initial_possession
Jensen Weir,0
Ben White,33
Neal Maupay,0
Mathew Ryan,0
Alexis Mac Allister,0
Adam Lallana,4
Jayson Molumby,0
Christian Walton,0
Adam Webster,29
Solly March,0
Lewis Dunk,0
Reda Khadra,0
Aaron Connolly,0
Jason Steele,0
Bernardo,0
Steven Alzate,10
Davy Pröpper,0
Leandro Trossard,12
Percy Tau,3
Tom McGill,0
José Izquierdo,0
Pascal Groß,20
Teddy Jenks,0
Dan Burn,31
Alireza Jahanbakhsh,18
Michal Karbownik,0
Florin Andone,0
Jakub Moder,18
Danny Welbeck,7
Robert Sánchez,16
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,0
Yves Bissouma,17
Joël Veltman,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
