,initial_possession
Jensen Weir,0
Ben White,0
Neal Maupay,21
Mathew Ryan,0
Alexis Mac Allister,0
Adam Lallana,18
Jayson Molumby,0
Christian Walton,0
Adam Webster,40
Solly March,0
Lewis Dunk,39
Reda Khadra,0
Aaron Connolly,3
Jason Steele,0
Bernardo,0
Steven Alzate,0
Davy Pröpper,0
Leandro Trossard,19
Percy Tau,0
Tom McGill,0
José Izquierdo,5
Pascal Groß,25
Teddy Jenks,0
Dan Burn,0
Alireza Jahanbakhsh,7
Michal Karbownik,0
Florin Andone,0
Jakub Moder,18
Danny Welbeck,9
Robert Sánchez,8
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,0
Yves Bissouma,33
Joël Veltman,34
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
