,initial_possession
Jensen Weir,0
Ben White,20
Neal Maupay,6
Mathew Ryan,17
Alexis Mac Allister,0
Adam Lallana,0
Jayson Molumby,0
Christian Walton,0
Adam Webster,25
Solly March,40
Lewis Dunk,34
Reda Khadra,0
Aaron Connolly,10
Jason Steele,0
Bernardo,0
Steven Alzate,0
Davy Pröpper,0
Leandro Trossard,6
Percy Tau,0
Tom McGill,0
José Izquierdo,0
Pascal Groß,24
Teddy Jenks,0
Dan Burn,0
Alireza Jahanbakhsh,3
Michal Karbownik,0
Florin Andone,0
Jakub Moder,0
Danny Welbeck,19
Robert Sánchez,0
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,26
Yves Bissouma,35
Joël Veltman,42
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
