,initial_possession
Adrián,0
Georginio Wijnaldum,8
Mohamed Salah,10
Leighton Clarkson,0
Alisson Becker,19
Caoimhín Kelleher,0
Liam Hughes,0
Fabinho,28
Takumi Minamino,0
Andy Robertson,26
Billy Koumetio,0
Joe Gomez,0
Ben Davies,0
Kostas Tsimikas,0
Curtis Jones,15
Joël Matip,0
Virgil van Dijk,0
Ben Woodburn,0
Xherdan Shaqiri,0
Ozan Kabak,0
Neco Williams,0
Roberto Firmino,22
Sadio Mané,26
Thiago Alcântara,10
Divock Origi,0
Rhys Williams,0
Naby Keïta,0
Nathaniel Phillips,38
Jordan Henderson,28
Trent Alexander-Arnold,39
Diogo Jota,0
Alex Oxlade-Chamberlain,0
Jake Cain,0
James Milner,27
Jakub Ojrzynski,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
