,initial_possession
Adrián,0
Georginio Wijnaldum,12
Mohamed Salah,15
Leighton Clarkson,0
Alisson Becker,20
Caoimhín Kelleher,0
Liam Hughes,0
Fabinho,32
Takumi Minamino,0
Andy Robertson,34
Billy Koumetio,0
Joe Gomez,0
Ben Davies,0
Kostas Tsimikas,0
Curtis Jones,1
Joël Matip,0
Virgil van Dijk,0
Ben Woodburn,0
Xherdan Shaqiri,0
Ozan Kabak,0
Neco Williams,0
Roberto Firmino,2
Sadio Mané,22
Thiago Alcântara,26
Divock Origi,0
Rhys Williams,18
Naby Keïta,0
Nathaniel Phillips,32
Jordan Henderson,0
Trent Alexander-Arnold,20
Diogo Jota,21
Alex Oxlade-Chamberlain,3
Jake Cain,0
James Milner,0
Jakub Ojrzynski,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
