,initial_possession
Rúnar Rúnarsson,0
Willian,6
Emile Smith Rowe,7
Mathew Ryan,0
Martin Ødegaard,16
Granit Xhaka,22
Mohamed Elneny,2
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,0
Ainsley Maitland-Niles,0
David Luiz,21
Thomas Partey,0
Kieran Tierney,0
Dani Ceballos,23
Cédric Soares,37
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,23
Pablo Marí,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,20
Eddie Nketiah,0
Héctor Bellerín,40
Gabriel Magalhães,25
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,19
Calum Chambers,0
Rob Holding,4
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
