,initial_possession
Adrián,0
Georginio Wijnaldum,19
Mohamed Salah,13
Leighton Clarkson,0
Alisson Becker,11
Caoimhín Kelleher,0
Liam Hughes,0
Fabinho,19
Takumi Minamino,0
Andy Robertson,23
Billy Koumetio,0
Joe Gomez,0
Ben Davies,0
Kostas Tsimikas,0
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,0
Ben Woodburn,0
Xherdan Shaqiri,0
Ozan Kabak,0
Neco Williams,0
Roberto Firmino,19
Sadio Mané,20
Thiago Alcântara,33
Divock Origi,0
Rhys Williams,30
Naby Keïta,0
Nathaniel Phillips,35
Jordan Henderson,0
Trent Alexander-Arnold,38
Diogo Jota,0
Alex Oxlade-Chamberlain,0
Jake Cain,0
James Milner,7
Jakub Ojrzynski,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
