,initial_possession
Rúnar Rúnarsson,0
Willian,0
Emile Smith Rowe,14
Mathew Ryan,0
Martin Ødegaard,0
Granit Xhaka,45
Mohamed Elneny,0
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,8
Ainsley Maitland-Niles,19
David Luiz,20
Thomas Partey,16
Kieran Tierney,0
Dani Ceballos,27
Cédric Soares,0
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,26
Pablo Marí,0
Nicolas Pépé,6
Pierre-Emerick Aubameyang,16
Eddie Nketiah,2
Héctor Bellerín,36
Gabriel Magalhães,0
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,16
Calum Chambers,0
Rob Holding,26
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
