,initial_possession
Rúnar Rúnarsson,7
Willian,0
Emile Smith Rowe,12
Mathew Ryan,0
Martin Ødegaard,0
Granit Xhaka,34
Mohamed Elneny,0
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,2
Ainsley Maitland-Niles,0
David Luiz,7
Thomas Partey,25
Kieran Tierney,0
Dani Ceballos,0
Cédric Soares,25
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,20
Pablo Marí,0
Nicolas Pépé,18
Pierre-Emerick Aubameyang,6
Eddie Nketiah,0
Héctor Bellerín,27
Gabriel Magalhães,16
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,14
Calum Chambers,0
Rob Holding,18
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
