,initial_possession
Jensen Weir,0
Ben White,22
Neal Maupay,10
Mathew Ryan,0
Alexis Mac Allister,4
Adam Lallana,16
Jayson Molumby,0
Christian Walton,0
Adam Webster,0
Solly March,0
Lewis Dunk,18
Reda Khadra,0
Aaron Connolly,0
Jason Steele,0
Bernardo,0
Steven Alzate,0
Davy Pröpper,2
Leandro Trossard,11
Percy Tau,0
Tom McGill,0
José Izquierdo,0
Pascal Groß,25
Teddy Jenks,0
Dan Burn,0
Alireza Jahanbakhsh,0
Michal Karbownik,0
Florin Andone,0
Jakub Moder,29
Danny Welbeck,9
Robert Sánchez,10
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,2
Tariq Lamptey,0
Yves Bissouma,23
Joël Veltman,35
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
