,initial_possession
Rúnar Rúnarsson,0
Willian,7
Emile Smith Rowe,0
Mathew Ryan,0
Martin Ødegaard,7
Granit Xhaka,25
Mohamed Elneny,0
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,9
Ainsley Maitland-Niles,0
David Luiz,32
Thomas Partey,26
Kieran Tierney,31
Dani Ceballos,5
Cédric Soares,0
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,20
Pablo Marí,36
Nicolas Pépé,13
Pierre-Emerick Aubameyang,15
Eddie Nketiah,0
Héctor Bellerín,0
Gabriel Magalhães,0
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,22
Calum Chambers,45
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
