,Rúnar Rúnarsson,Willian,Emile Smith Rowe,Mathew Ryan,Martin Ødegaard,Granit Xhaka,Mohamed Elneny,Reiss Nelson,Shkodran Mustafi,Alexandre Lacazette,Ainsley Maitland-Niles,David Luiz,Thomas Partey,Kieran Tierney,Dani Ceballos,Cédric Soares,Joe Willock,Matt Macey,Gabriel Martinelli,Bukayo Saka,Pablo Marí,Nicolas Pépé,Pierre-Emerick Aubameyang,Eddie Nketiah,Héctor Bellerín,Gabriel Magalhães,Sead Kolasinac,Miguel Azeez,Bernd Leno,Calum Chambers,Rob Holding,Successful,Unsuccessful,Unsuccessful Pass
Rúnar Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willian,0,1,0,0,0,5,0,0,0,5,0,0,1,9,6,0,0,0,0,2,0,0,2,2,9,1,0,0,1,0,1,0,1,22
Emile Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathew Ryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Ødegaard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit Xhaka,0,17,0,0,0,0,0,0,0,5,0,0,2,15,13,0,0,0,0,8,0,0,2,0,5,18,0,0,5,0,10,0,0,10
Mohamed Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reiss Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shkodran Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,0,0,0,0,0,1,0,0,0,0,0,0,4,0,5,0,0,0,0,2,0,0,2,0,6,0,0,0,1,0,1,0,4,7
Ainsley Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Luiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Partey,0,2,0,0,0,2,0,0,0,4,0,0,0,3,0,0,0,0,0,1,0,0,2,0,5,3,0,0,1,0,4,0,2,7
Kieran Tierney,0,5,0,0,0,13,0,0,0,1,0,0,3,0,1,0,0,0,0,8,0,0,3,0,0,9,0,0,4,0,0,0,0,19
Dani Ceballos,0,6,0,0,0,17,0,0,0,1,0,0,0,4,1,0,0,0,0,3,0,0,1,0,1,10,0,0,1,0,6,0,0,6
Cédric Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Martinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bukayo Saka,0,1,0,0,0,5,0,0,0,4,0,0,2,4,2,0,0,0,0,0,0,0,2,1,2,2,0,0,1,0,6,0,2,13
Pablo Marí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Pépé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,0,2,0,0,0,3,0,0,0,3,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,2,0
Eddie Nketiah,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Héctor Bellerín,0,10,0,0,0,2,0,0,0,3,0,0,4,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,15,0,0,18
Gabriel Magalhães,0,2,0,0,0,27,0,0,0,2,0,0,3,9,6,0,0,0,0,1,0,0,1,1,1,0,0,0,3,0,22,0,0,7
Sead Kolasinac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Azeez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Leno,0,1,0,0,0,3,0,0,0,0,0,0,0,1,7,0,0,0,0,1,0,0,1,0,1,4,0,0,0,0,9,0,0,3
Calum Chambers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob Holding,0,6,0,0,0,6,0,0,0,3,0,0,3,1,6,0,0,0,0,7,0,0,1,0,12,29,0,0,4,0,0,0,0,10
