,initial_possession
Rúnar Rúnarsson,0
Willian,3
Emile Smith Rowe,9
Mathew Ryan,0
Martin Ødegaard,0
Granit Xhaka,29
Mohamed Elneny,6
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,13
Ainsley Maitland-Niles,0
David Luiz,15
Thomas Partey,25
Kieran Tierney,25
Dani Ceballos,0
Cédric Soares,32
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,4
Bukayo Saka,14
Pablo Marí,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,13
Eddie Nketiah,0
Héctor Bellerín,0
Gabriel Magalhães,0
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,10
Calum Chambers,0
Rob Holding,28
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
