,initial_possession
Adrián,0
Georginio Wijnaldum,26
Mohamed Salah,14
Leighton Clarkson,0
Alisson Becker,12
Caoimhín Kelleher,0
Liam Hughes,0
Fabinho,0
Takumi Minamino,0
Andy Robertson,29
Billy Koumetio,0
Joe Gomez,33
Ben Davies,0
Kostas Tsimikas,0
Curtis Jones,16
Joël Matip,0
Virgil van Dijk,0
Ben Woodburn,0
Xherdan Shaqiri,5
Ozan Kabak,0
Neco Williams,0
Roberto Firmino,14
Sadio Mané,20
Thiago Alcântara,0
Divock Origi,0
Rhys Williams,0
Naby Keïta,0
Nathaniel Phillips,42
Jordan Henderson,16
Trent Alexander-Arnold,34
Diogo Jota,3
Alex Oxlade-Chamberlain,0
Jake Cain,0
James Milner,0
Jakub Ojrzynski,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
