,initial_possession
Rúnar Rúnarsson,0
Willian,0
Emile Smith Rowe,0
Mathew Ryan,0
Martin Ødegaard,0
Granit Xhaka,26
Mohamed Elneny,0
Reiss Nelson,0
Shkodran Mustafi,12
Alexandre Lacazette,21
Ainsley Maitland-Niles,0
David Luiz,17
Thomas Partey,17
Kieran Tierney,16
Dani Ceballos,26
Cédric Soares,0
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,17
Pablo Marí,0
Nicolas Pépé,4
Pierre-Emerick Aubameyang,10
Eddie Nketiah,2
Héctor Bellerín,32
Gabriel Magalhães,23
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,14
Calum Chambers,0
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
