,initial_possession
Rúnar Rúnarsson,0
Willian,5
Emile Smith Rowe,13
Mathew Ryan,0
Martin Ødegaard,0
Granit Xhaka,24
Mohamed Elneny,2
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,20
Ainsley Maitland-Niles,0
David Luiz,20
Thomas Partey,22
Kieran Tierney,0
Dani Ceballos,0
Cédric Soares,45
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,11
Pablo Marí,0
Nicolas Pépé,29
Pierre-Emerick Aubameyang,0
Eddie Nketiah,0
Héctor Bellerín,20
Gabriel Magalhães,0
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,19
Calum Chambers,0
Rob Holding,21
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
