,initial_possession
Jensen Weir,0
Ben White,14
Neal Maupay,18
Mathew Ryan,0
Alexis Mac Allister,35
Adam Lallana,0
Jayson Molumby,0
Christian Walton,0
Adam Webster,35
Solly March,54
Lewis Dunk,35
Reda Khadra,0
Aaron Connolly,0
Jason Steele,0
Bernardo,0
Steven Alzate,0
Davy Pröpper,2
Leandro Trossard,35
Percy Tau,0
Tom McGill,0
José Izquierdo,0
Pascal Groß,34
Teddy Jenks,0
Dan Burn,0
Alireza Jahanbakhsh,0
Michal Karbownik,0
Florin Andone,0
Jakub Moder,0
Danny Welbeck,0
Robert Sánchez,14
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,0
Yves Bissouma,37
Joël Veltman,35
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
