,initial_possession
Adrián,0
Georginio Wijnaldum,19
Mohamed Salah,18
Leighton Clarkson,0
Alisson Becker,19
Caoimhín Kelleher,0
Liam Hughes,0
Fabinho,37
Takumi Minamino,16
Andy Robertson,32
Billy Koumetio,0
Joe Gomez,0
Ben Davies,0
Kostas Tsimikas,0
Curtis Jones,23
Joël Matip,15
Virgil van Dijk,0
Ben Woodburn,0
Xherdan Shaqiri,0
Ozan Kabak,0
Neco Williams,23
Roberto Firmino,22
Sadio Mané,18
Thiago Alcântara,0
Divock Origi,3
Rhys Williams,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,37
Trent Alexander-Arnold,23
Diogo Jota,0
Alex Oxlade-Chamberlain,0
Jake Cain,0
James Milner,0
Jakub Ojrzynski,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
