,initial_possession
Jensen Weir,0
Ben White,27
Neal Maupay,0
Mathew Ryan,0
Alexis Mac Allister,4
Adam Lallana,14
Jayson Molumby,0
Christian Walton,0
Adam Webster,41
Solly March,39
Lewis Dunk,0
Reda Khadra,0
Aaron Connolly,0
Jason Steele,0
Bernardo,11
Steven Alzate,0
Davy Pröpper,0
Leandro Trossard,3
Percy Tau,0
Tom McGill,0
José Izquierdo,0
Pascal Groß,24
Teddy Jenks,0
Dan Burn,25
Alireza Jahanbakhsh,0
Michal Karbownik,0
Florin Andone,0
Jakub Moder,0
Danny Welbeck,1
Robert Sánchez,12
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,15
Yves Bissouma,19
Joël Veltman,30
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
