,initial_possession
Jensen Weir,0
Ben White,29
Neal Maupay,22
Mathew Ryan,10
Alexis Mac Allister,0
Adam Lallana,5
Jayson Molumby,0
Christian Walton,0
Adam Webster,25
Solly March,33
Lewis Dunk,20
Reda Khadra,0
Aaron Connolly,10
Jason Steele,0
Bernardo,0
Steven Alzate,13
Davy Pröpper,0
Leandro Trossard,19
Percy Tau,0
Tom McGill,0
José Izquierdo,0
Pascal Groß,1
Teddy Jenks,0
Dan Burn,0
Alireza Jahanbakhsh,0
Michal Karbownik,0
Florin Andone,0
Jakub Moder,0
Danny Welbeck,0
Robert Sánchez,0
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,14
Yves Bissouma,28
Joël Veltman,26
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
