,initial_possession
Jensen Weir,0
Ben White,18
Neal Maupay,0
Mathew Ryan,0
Alexis Mac Allister,23
Adam Lallana,0
Jayson Molumby,0
Christian Walton,0
Adam Webster,33
Solly March,13
Lewis Dunk,13
Reda Khadra,1
Aaron Connolly,0
Jason Steele,0
Bernardo,25
Steven Alzate,0
Davy Pröpper,9
Leandro Trossard,15
Percy Tau,13
Tom McGill,0
José Izquierdo,0
Pascal Groß,0
Teddy Jenks,0
Dan Burn,25
Alireza Jahanbakhsh,0
Michal Karbownik,0
Florin Andone,0
Jakub Moder,0
Danny Welbeck,0
Robert Sánchez,24
Max Sanders,0
Dale Stephens,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,0
Yves Bissouma,0
Joël Veltman,40
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
