,initial_possession
Rúnar Rúnarsson,0
Willian,0
Emile Smith Rowe,3
Mathew Ryan,0
Martin Ødegaard,13
Granit Xhaka,20
Mohamed Elneny,19
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,4
Ainsley Maitland-Niles,0
David Luiz,11
Thomas Partey,0
Kieran Tierney,26
Dani Ceballos,3
Cédric Soares,0
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,14
Pablo Marí,17
Nicolas Pépé,8
Pierre-Emerick Aubameyang,6
Eddie Nketiah,0
Héctor Bellerín,25
Gabriel Magalhães,0
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,17
Calum Chambers,0
Rob Holding,28
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
