,initial_possession
Rúnar Rúnarsson,0
Willian,17
Emile Smith Rowe,4
Mathew Ryan,0
Martin Ødegaard,5
Granit Xhaka,32
Mohamed Elneny,13
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,15
Ainsley Maitland-Niles,0
David Luiz,21
Thomas Partey,14
Kieran Tierney,29
Dani Ceballos,0
Cédric Soares,33
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,0
Bukayo Saka,0
Pablo Marí,17
Nicolas Pépé,22
Pierre-Emerick Aubameyang,3
Eddie Nketiah,0
Héctor Bellerín,0
Gabriel Magalhães,0
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,15
Calum Chambers,0
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
