,initial_possession
Adrián,0
Georginio Wijnaldum,11
Mohamed Salah,11
Leighton Clarkson,0
Alisson Becker,27
Caoimhín Kelleher,0
Liam Hughes,0
Fabinho,18
Takumi Minamino,0
Andy Robertson,35
Billy Koumetio,0
Joe Gomez,0
Ben Davies,0
Kostas Tsimikas,1
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,0
Ben Woodburn,0
Xherdan Shaqiri,0
Ozan Kabak,0
Neco Williams,0
Roberto Firmino,8
Sadio Mané,17
Thiago Alcântara,25
Divock Origi,0
Rhys Williams,42
Naby Keïta,0
Nathaniel Phillips,52
Jordan Henderson,0
Trent Alexander-Arnold,26
Diogo Jota,0
Alex Oxlade-Chamberlain,1
Jake Cain,0
James Milner,0
Jakub Ojrzynski,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
