,initial_possession
Adrián,0
Georginio Wijnaldum,14
Mohamed Salah,9
Leighton Clarkson,0
Alisson Becker,25
Caoimhín Kelleher,0
Liam Hughes,0
Fabinho,25
Takumi Minamino,15
Andy Robertson,41
Billy Koumetio,0
Joe Gomez,0
Ben Davies,0
Kostas Tsimikas,0
Curtis Jones,5
Joël Matip,0
Virgil van Dijk,0
Ben Woodburn,0
Xherdan Shaqiri,0
Ozan Kabak,0
Neco Williams,14
Roberto Firmino,19
Sadio Mané,5
Thiago Alcântara,0
Divock Origi,0
Rhys Williams,0
Naby Keïta,0
Nathaniel Phillips,44
Jordan Henderson,4
Trent Alexander-Arnold,0
Diogo Jota,20
Alex Oxlade-Chamberlain,0
Jake Cain,0
James Milner,30
Jakub Ojrzynski,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
