,initial_possession
Rúnar Rúnarsson,0
Willian,0
Emile Smith Rowe,14
Mathew Ryan,12
Martin Ødegaard,0
Granit Xhaka,34
Mohamed Elneny,24
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,14
Ainsley Maitland-Niles,0
David Luiz,0
Thomas Partey,20
Kieran Tierney,0
Dani Ceballos,18
Cédric Soares,0
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,24
Bukayo Saka,17
Pablo Marí,0
Nicolas Pépé,5
Pierre-Emerick Aubameyang,0
Eddie Nketiah,3
Héctor Bellerín,22
Gabriel Magalhães,26
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,0
Calum Chambers,0
Rob Holding,26
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
