,initial_possession
Rúnar Rúnarsson,0
Willian,0
Emile Smith Rowe,16
Mathew Ryan,0
Martin Ødegaard,0
Granit Xhaka,32
Mohamed Elneny,17
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,1
Ainsley Maitland-Niles,1
David Luiz,0
Thomas Partey,0
Kieran Tierney,28
Dani Ceballos,7
Cédric Soares,0
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,7
Bukayo Saka,21
Pablo Marí,28
Nicolas Pépé,0
Pierre-Emerick Aubameyang,14
Eddie Nketiah,0
Héctor Bellerín,31
Gabriel Magalhães,0
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,20
Calum Chambers,0
Rob Holding,24
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
