,initial_possession
Rúnar Rúnarsson,0
Willian,1
Emile Smith Rowe,7
Mathew Ryan,0
Martin Ødegaard,0
Granit Xhaka,28
Mohamed Elneny,0
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,0
Ainsley Maitland-Niles,0
David Luiz,0
Thomas Partey,34
Kieran Tierney,0
Dani Ceballos,22
Cédric Soares,0
Joe Willock,0
Matt Macey,0
Gabriel Martinelli,4
Bukayo Saka,19
Pablo Marí,26
Nicolas Pépé,10
Pierre-Emerick Aubameyang,0
Eddie Nketiah,12
Héctor Bellerín,0
Gabriel Magalhães,0
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,10
Calum Chambers,23
Rob Holding,30
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
