,initial_possession
Rúnar Rúnarsson,0
Willian,12
Emile Smith Rowe,0
Mathew Ryan,0
Martin Ødegaard,0
Granit Xhaka,0
Mohamed Elneny,14
Reiss Nelson,0
Shkodran Mustafi,0
Alexandre Lacazette,8
Ainsley Maitland-Niles,39
David Luiz,15
Thomas Partey,0
Kieran Tierney,18
Dani Ceballos,23
Cédric Soares,0
Joe Willock,14
Matt Macey,0
Gabriel Martinelli,6
Bukayo Saka,14
Pablo Marí,0
Nicolas Pépé,12
Pierre-Emerick Aubameyang,0
Eddie Nketiah,12
Héctor Bellerín,0
Gabriel Magalhães,0
Sead Kolasinac,0
Miguel Azeez,0
Bernd Leno,14
Calum Chambers,0
Rob Holding,23
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
